Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AXAS,Abraxas Petroleum Corporation,3,499716471,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
AE,"Adams Resources & Energy, Inc.",48,202444608,n/a,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
AAV,Advantage Oil & Gas Ltd,3.1,576485876.6,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aav
ANW,Aegean Marine Petroleum Network Inc.,2.85,115825202.7,n/a,2006,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/anw
UAVS,"AgEagle Aerial Systems, Inc.",2.54,25111214.7,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/uavs
AHGP,"Alliance Holdings GP, L.P.",26.5,1586369500,n/a,2006,Energy,Coal Mining,https://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",18.25,2388984422,n/a,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
AETI,"American Electric Technologies, Inc.",0.7501,6566102.364,n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti
AEUA,Anadarko Petroleum Corporation,31.6,0,n/a,2015,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,70.52,36324023531,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc
ANDV,Andeavor,143.7,21716301095,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/andv
ANDX,Andeavor Logistics LP,44.08,9573643337,n/a,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx
AR,Antero Resources Corporation,19.08,6049348058,n/a,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar
APA,Apache Corporation,43.13,16482314614,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
AREX,Approach Resources Inc.,3.03,286720603.9,n/a,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/arex
ARCH,"Arch Coal, Inc.",80.19,1653109312,n/a,2016,Energy,Coal Mining,https://www.nasdaq.com/symbol/arch
AT,Atlantic Power Corporation,2.15,241832836.4,n/a,n/a,Energy,Electric Utilities: Central,https://www.nasdaq.com/symbol/at
BHGE,"Baker Hughes, a GE company",36.4,40508544658,n/a,2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/bhge
BLDP,"Ballard Power Systems, Inc.",3.05,543175256.4,n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/bldp
