Symbol,StartDt,Duration,TotalUpRate,MeanUpRate,UpDuration,MeanDownRate,DownDuration,Up/Down_Rate,BullIndex
AAOI,20170110,141,3.408007197,0.042655475,79,-0.027278396,62,1.274193548,434
ESPR,20170124,132,3.132178669,0.049494578,72,-0.0294332,60,1.2,375
FIZZ,20170119,135,1.359782609,0.016997945,92,-0.015473115,43,2.139534884,290
WTW,20170104,145,1.985559567,0.028482464,85,-0.020192054,60,1.416666667,281
PBYI,20170509,59,1.960344828,0.050629702,34,-0.018547277,25,1.36,261
BZUN,20170105,144,1.79380531,0.030475623,84,-0.023702207,60,1.4,251
XENT,20170109,142,1.493670886,0.021974307,89,-0.018406029,53,1.679245283,250
HIIQ,20170328,88,1.06993007,0.025639002,61,-0.028658277,27,2.259259259,241
GNCMA,20170309,101,1.364201016,0.021976964,64,-0.010650678,37,1.72972973,235
SGMS,20170104,145,1.571428571,0.02288964,86,-0.016030959,59,1.457627119,229
STMP,20170413,76,0.996116505,0.024129604,53,-0.022261015,23,2.304347826,228
MOMO,20170104,145,1.43442623,0.025046431,89,-0.022385208,56,1.589285714,227
PETS,20170310,100,1.483904465,0.02422936,60,-0.012057843,40,1.5,222
EXAS,20170104,145,1.893363162,0.031988424,77,-0.018852144,68,1.132352941,214
PTLA,20170104,145,1.684487292,0.026140214,81,-0.01558166,64,1.265625,213
SHOP,20170104,145,1.269033162,0.020706317,90,-0.018063735,55,1.636363636,207
TRTN,20170104,145,1.124415888,0.021325049,93,-0.022463509,52,1.788461538,201
SEDG,20170207,122,1.243902439,0.021508002,75,-0.015902536,47,1.595744681,198
KITE,20170124,132,1.407536484,0.026163177,76,-0.018246242,56,1.357142857,191
W,20170104,145,1.198123934,0.02019109,89,-0.016996191,56,1.589285714,190
TREE,20170104,145,1.338078292,0.020321083,84,-0.013203673,61,1.37704918,184
TAL,20170104,145,1.196356557,0.017859151,88,-0.013142246,57,1.543859649,184
