Stock,EventD,ER_Date,ER_A/B,Div_Date,OptionEX,OView,Buy_%,Sell_%,C/P,Strike,StockV,Rank,Avg_Price,Volume,OIa,OI_Change,MillionD,MaxD,Huge
AABA,180719.0,20180815.0,amc,,180817.0,Down,84.61,15.39,P,100.0,73.36,73.0,26.729,11696.0,150582.0,7996.0,21.372,21.372,2---2
AMZN,180719.0,20180726.0,amc,,190118.0,Up,20.98,76.92,P,2100.0,1812.97,86.0,312.382,572.0,221.0,303.0,9.465,17.392,2---2
AMZN,180719.0,20180726.0,amc,,180817.0,Down,0.0,100.0,C,1770.0,1812.97,102.0,99.583,854.0,357.0,849.0,8.455,17.392,2---2
AMZN,180719.0,20180726.0,amc,,200619.0,Up,4.29,81.43,P,1700.0,1812.97,107.0,196.055,280.0,13.0,270.0,5.292999999999999,17.392,2---2
AMZN,180719.0,20180726.0,amc,,180817.0,Down,30.03,65.98,C,1850.0,1812.97,98.0,55.418,776.0,2486.0,840.0,4.655,17.392,2---2
AMZN,180719.0,20180726.0,amc,,180921.0,Up,50.72,48.79,C,1800.0,1812.97,101.0,103.686,621.0,1338.0,411.0,4.261,17.392,2---2
AMZN,180719.0,20180726.0,amc,,180817.0,Down,98.96,1.04,P,1770.0,1812.97,102.0,41.1,862.0,206.0,838.0,3.444,17.392,2---2
AMZN,180719.0,20180726.0,amc,,181116.0,Up,52.04,47.68,C,1900.0,1812.97,95.0,98.318,367.0,397.0,290.0,2.8510000000000004,17.392,2---2
AMZN,180719.0,20180726.0,amc,,180831.0,Up,22.42,76.61,P,1720.0,1812.97,105.0,30.691,1026.0,14.0,828.0,2.541,17.392,2---2
AMZN,180719.0,20180726.0,amc,,181116.0,Up,75.0,25.0,C,1760.0,1812.97,103.0,172.24400000000003,136.0,1444.0,136.0,2.343,17.392,2---2
AMZN,180719.0,20180726.0,amc,,190118.0,Up,46.78,26.36,C,2100.0,1812.97,86.0,59.068000000000005,793.0,1300.0,371.0,2.191,17.392,2---2
AMZN,180719.0,20180726.0,amc,,180727.0,Down,40.9,52.82,C,1830.0,1812.97,99.0,48.872,956.0,322.0,406.0,1.984,17.392,2---2
AMZN,180719.0,20180726.0,amc,,181116.0,Down,7.34,92.2,C,1890.0,1812.97,96.0,104.001,218.0,216.0,186.0,1.9340000000000002,17.392,2---2
