Stock,EventD,EventT,ER_Date,ER_A/B,OptionEX,C/P,Strike,StockV,Height,Size,OPrice,Direction,Condition,MillionD,OIa,OIChange,MaxMillionD,MaxStrike,MinHeight,MaxHeight,MarketCapB,Index
SHLD,180720,112942,20180822,bmo,200117,P,7.0,2.21,317.0,1050,4.950,Sell60%  ,Spread              ,0.52,,,2.07,22.0,317.0,995.0,0.3,SHLD_180720_112942_B
SHLD,180720,112942,20180822,bmo,190118,P,22.0,2.21,995.0,1050,19.750,Buy52%   ,Spread              ,2.07,,,2.07,22.0,317.0,995.0,0.3,SHLD_180720_112942_A
SHLD,180720,112546,20180822,bmo,200117,P,7.0,2.21,317.0,115,4.870,Sell12%  ,Spread              ,0.06,,,0.23,22.0,317.0,995.0,0.3,SHLD_180720_112546_B
SHLD,180720,112546,20180822,bmo,190118,P,22.0,2.21,995.0,115,19.670,Buy25%   ,Spread              ,0.23,,,0.23,22.0,317.0,995.0,0.3,SHLD_180720_112546_A
SHLD,180720,122449,20180822,bmo,200117,P,7.0,2.21,317.0,3000,5.180,Buy1%    ,Spread              ,1.55,,,4.49,17.0,317.0,769.0,0.3,SHLD_180720_122449_B
SHLD,180720,122449,20180822,bmo,190118,P,17.0,2.21,769.0,3000,14.980,Sell25%  ,Spread              ,4.49,,,4.49,17.0,317.0,769.0,0.3,SHLD_180720_122449_A
SHLD,180720,121526,20180822,bmo,200117,P,7.0,2.21,317.0,140,5.180,Buy1%    ,Spread              ,0.07,,,0.21,17.0,317.0,769.0,0.3,SHLD_180720_121526_B
SHLD,180720,121526,20180822,bmo,190118,P,17.0,2.21,769.0,140,14.960,Sell28%  ,Spread              ,0.21,,,0.21,17.0,317.0,769.0,0.3,SHLD_180720_121526_A
SVXY,180720,122638,,,180921,C,15.0,13.79,109.0,800,0.270,Sell50%  ,Spread              ,0.02,,,0.02,20.0,109.0,145.0,,SVXY_180720_122638_B
SVXY,180720,122638,,,190118,C,20.0,13.79,145.0,800,0.040,Un0%     ,Spread              ,0.00,,,0.02,20.0,109.0,145.0,,SVXY_180720_122638_A
PZZA,180720,153850,20180730,amc,190118,C,55.0,51.59,107.0,1758,4.500,Buy100%  ,Spread              ,0.79,,,0.79,75.0,107.0,145.0,1.5,PZZA_180720_153850_B
PZZA,180720,153850,20180730,amc,190118,C,75.0,51.59,145.0,1758,0.550,Sell60%  ,Spread              ,0.10,,,0.79,75.0,107.0,145.0,1.5,PZZA_180720_153850_A
GE,180720,111046,20180720,bmo,200117,C,15.0,13.12,114.0,250,1.180,Buy100%  ,Spread              ,0.03,,,0.03,18.0,114.0,137.0,114.8,GE_180720_111046_B
GE,180720,111046,20180720,bmo,200117,C,15.0,13.12,114.0,250,1.180,Buy100%  ,Spread              ,0.03,,,0.03,18.0,114.0,137.0,114.8,GE_180720_111046_B
GE,180720,111046,20180720,bmo,200117,C,18.0,13.12,137.0,500,0.510,Sell100% ,Spread              ,0.03,,,0.03,18.0,114.0,137.0,114.8,GE_180720_111046_A
GE,180720,111046,20180720,bmo,200117,C,18.0,13.12,137.0,500,0.510,Sell100% ,Spread              ,0.03,,,0.03,18.0,114.0,137.0,114.8,GE_180720_111046_A
GE,180720,111004,20180720,bmo,200117,C,15.0,13.12,114.0,355,1.230,Buy100%  ,Spread              ,0.04,,,0.04,18.0,114.0,137.0,114.8,GE_180720_111004_B
GE,180720,111004,20180720,bmo,200117,C,18.0,13.12,137.0,710,0.520,Buy100%  ,Spread              ,0.04,,,0.04,18.0,114.0,137.0,114.8,GE_180720_111004_A
GE,180720,110958,20180720,bmo,200117,C,15.0,13.12,114.0,490,1.210,Buy100%  ,Spread              ,0.06,,,0.06,18.0,114.0,137.0,114.8,GE_180720_110958_B
GE,180720,110958,20180720,bmo,200117,C,18.0,13.12,137.0,980,0.510,Sell100% ,Spread              ,0.05,,,0.06,18.0,114.0,137.0,114.8,GE_180720_110958_A
GE,180720,110956,20180720,bmo,200117,C,15.0,13.12,114.0,485,1.210,Buy100%  ,Spread              ,0.06,,,0.06,18.0,114.0,137.0,114.8,GE_180720_110956_B
GE,180720,110956,20180720,bmo,200117,C,18.0,13.12,137.0,970,0.510,Sell100% ,Spread              ,0.05,,,0.06,18.0,114.0,137.0,114.8,GE_180720_110956_A
AABA,180720,123459,20180815,amc,180817,P,100.0,73.27,136.0,1250,26.950,Buy38%   ,BuyWrite            ,3.37,,,3.37,100.0,136.0,136.0,59.3,AABA_180720_123459_B
AABA,180720,123459,20180815,amc,180817,C,100.0,73.27,136.0,1250,0.070,Buy16%   ,BuyWrite            ,0.01,,,3.37,100.0,136.0,136.0,59.3,AABA_180720_123459_A
AABA,180720,122651,20180815,amc,180817,C,100.0,73.27,136.0,2500,0.070,Buy16%   ,BuyWrite            ,0.02,,,6.74,100.0,136.0,136.0,59.3,AABA_180720_122651_B
AABA,180720,122651,20180815,amc,180817,P,100.0,73.27,136.0,2500,26.950,Buy11%   ,BuyWrite            ,6.74,,,6.74,100.0,136.0,136.0,59.3,AABA_180720_122651_A
AABA,180720,103018,20180815,amc,180817,P,100.0,73.27,136.0,2500,27.050,Buy40%   ,BuyWrite            ,6.76,,,6.76,100.0,136.0,136.0,59.3,AABA_180720_103018_B
AABA,180720,103018,20180815,amc,180817,C,100.0,73.27,136.0,2500,0.110,Buy83%   ,BuyWrite            ,0.03,,,6.76,100.0,136.0,136.0,59.3,AABA_180720_103018_A
MDXG,180720,152138,,,180720,P,5.0,3.74,134.0,972,1.100,Sell100% ,Spread              ,0.11,,,0.16,5.0,134.0,134.0,0.4,MDXG_180720_152138_B
MDXG,180720,152138,,,180817,P,5.0,3.74,134.0,972,1.640,Buy80%   ,Spread              ,0.16,,,0.16,5.0,134.0,134.0,0.4,MDXG_180720_152138_A
BAC,180720,155759,20181015,bmo,190118,C,31.0,30.13,103.0,364,1.490,Buy100%  ,Spread              ,0.05,,,0.07,40.0,103.0,133.0,307.0,BAC_180720_155759_D
BAC,180720,155759,20181015,bmo,190118,C,31.0,30.13,103.0,500,1.490,Buy100%  ,Spread              ,0.07,,,0.07,40.0,103.0,133.0,307.0,BAC_180720_155759_C
BAC,180720,155759,20181015,bmo,200117,C,40.0,30.13,133.0,364,0.680,Un0%     ,Spread              ,0.02,,,0.07,40.0,103.0,133.0,307.0,BAC_180720_155759_B
BAC,180720,155759,20181015,bmo,200117,C,40.0,30.13,133.0,500,0.680,Un0%     ,Spread              ,0.03,,,0.07,40.0,103.0,133.0,307.0,BAC_180720_155759_A
BAC,180720,155143,20181015,bmo,190118,C,31.0,30.13,103.0,2987,1.470,Buy100%  ,Spread              ,0.44,,,0.44,40.0,103.0,133.0,307.0,BAC_180720_155143_B
BAC,180720,155143,20181015,bmo,200117,C,40.0,30.13,133.0,2987,0.650,Sell100% ,Spread              ,0.19,,,0.44,40.0,103.0,133.0,307.0,BAC_180720_155143_A
BAC,180720,155142,20181015,bmo,190118,C,31.0,30.13,103.0,500,1.470,Buy100%  ,Spread              ,0.07,,,0.07,40.0,103.0,133.0,307.0,BAC_180720_155142_B
BAC,180720,155142,20181015,bmo,200117,C,40.0,30.13,133.0,500,0.650,Sell100% ,Spread              ,0.03,,,0.07,40.0,103.0,133.0,307.0,BAC_180720_155142_A
BAC,180720,155100,20181015,bmo,190118,C,31.0,30.13,103.0,1000,1.460,Buy100%  ,Spread              ,0.15,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155100_B
BAC,180720,155100,20181015,bmo,200117,C,40.0,30.13,133.0,1000,0.650,Sell100% ,Spread              ,0.07,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155100_A
BAC,180720,155033,20181015,bmo,190118,C,31.0,30.13,103.0,1000,1.470,Un0%     ,Spread              ,0.15,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155033_B
BAC,180720,155033,20181015,bmo,200117,C,40.0,30.13,133.0,1000,0.660,Buy100%  ,Spread              ,0.07,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155033_A
BAC,180720,155032,20181015,bmo,190118,C,31.0,30.13,103.0,1000,1.470,Un0%     ,Spread              ,0.15,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155032_B
BAC,180720,155032,20181015,bmo,190118,C,31.0,30.13,103.0,1000,1.470,Un0%     ,Spread              ,0.15,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155032_B
BAC,180720,155032,20181015,bmo,190118,C,31.0,30.13,103.0,1000,1.470,Un0%     ,Spread              ,0.15,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155032_B
BAC,180720,155032,20181015,bmo,200117,C,40.0,30.13,133.0,1000,0.660,Buy100%  ,Spread              ,0.07,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155032_A
BAC,180720,155032,20181015,bmo,200117,C,40.0,30.13,133.0,1000,0.660,Buy100%  ,Spread              ,0.07,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155032_A
BAC,180720,155032,20181015,bmo,200117,C,40.0,30.13,133.0,1000,0.660,Buy100%  ,Spread              ,0.07,,,0.15,40.0,103.0,133.0,307.0,BAC_180720_155032_A
AAL,180720,133957,20180726,bmo,180727,P,40.0,37.88,106.0,600,2.320,Sell20%  ,Spread              ,0.14,,,0.73,50.0,106.0,132.0,17.9,AAL_180720_133957_B
AAL,180720,133957,20180726,bmo,180817,P,50.0,37.88,132.0,600,12.090,Buy20%   ,Spread              ,0.73,,,0.73,50.0,106.0,132.0,17.9,AAL_180720_133957_A
TPX,180720,101625,20180726,bmo,180921,C,52.5,53.98,97.0,375,5.150,Sell70%  ,Spread              ,0.19,,,0.31,70.0,97.0,130.0,2.8,TPX_180720_101625_C
TPX,180720,101625,20180726,bmo,181221,C,55.0,53.98,102.0,500,6.250,Buy80%   ,Spread              ,0.31,,,0.31,70.0,97.0,130.0,2.8,TPX_180720_101625_B
TPX,180720,101625,20180726,bmo,181221,C,70.0,53.98,130.0,500,1.500,Sell66%  ,Spread              ,0.08,,,0.31,70.0,97.0,130.0,2.8,TPX_180720_101625_A
NCR,180720,133128,20180726,amc,200117,C,30.0,30.78,97.0,1000,5.550,Buy66%   ,Spread              ,0.56,,,0.56,40.0,97.0,130.0,3.6,NCR_180720_133128_B
NCR,180720,133128,20180726,amc,200117,C,40.0,30.78,130.0,1000,1.650,Un0%     ,Spread              ,0.17,,,0.56,40.0,97.0,130.0,3.6,NCR_180720_133128_A
SN,180720,120001,20180807,bmo,180817,P,6.0,4.69,128.0,500,1.260,Sell80%  ,Spread              ,0.06,,,0.11,6.0,128.0,128.0,0.4,SN_180720_120001_C
SN,180720,120001,20180807,bmo,180817,P,6.0,4.69,128.0,900,1.260,Sell80%  ,Spread              ,0.11,,,0.11,6.0,128.0,128.0,0.4,SN_180720_120001_B
SN,180720,120001,20180807,bmo,180817,P,6.0,4.69,128.0,851,1.260,Sell80%  ,Spread              ,0.11,,,0.11,6.0,128.0,128.0,0.4,SN_180720_120001_A
BABA,180720,113657,20180815,bmo,190118,C,150.0,187.25,80.0,100,42.600,Buy60%   ,Spread              ,0.43,,,0.43,230.0,80.0,123.0,473.7,BABA_180720_113657_B
BABA,180720,113657,20180815,bmo,190118,C,230.0,187.25,123.0,100,4.600,Sell10%  ,Spread              ,0.05,,,0.43,230.0,80.0,123.0,473.7,BABA_180720_113657_A
SYF,180720,115452,20180727,bmo,190118,P,30.0,32.81,91.0,2500,1.350,Buy100%  ,BuyWrite            ,0.34,,,0.34,40.0,91.0,122.0,26.6,SYF_180720_115452_B
SYF,180720,115452,20180727,bmo,190118,C,40.0,32.81,122.0,2500,0.450,Sell100% ,BuyWrite            ,0.11,,,0.34,40.0,91.0,122.0,26.6,SYF_180720_115452_A
CWH,180720,153439,,,180817,C,25.0,24.69,101.0,4500,1.500,Sell100% ,Spread              ,0.68,,,0.68,30.0,101.0,122.0,2.1,CWH_180720_153439_D
CWH,180720,153432,,,180817,C,30.0,24.69,122.0,4500,0.200,Sell100% ,Spread              ,0.09,,,0.68,30.0,101.0,122.0,2.1,CWH_180720_153432_B
CWH,180720,153026,,,180817,C,25.0,24.69,101.0,4500,1.500,Buy100%  ,Spread              ,0.68,,,0.68,30.0,101.0,122.0,2.1,CWH_180720_153026_C
CWH,180720,153026,,,180817,C,30.0,24.69,122.0,4500,0.200,Sell100% ,Spread              ,0.09,,,0.68,30.0,101.0,122.0,2.1,CWH_180720_153026_A
CWH,180720,152649,,,180817,C,25.0,24.69,101.0,500,1.450,Buy33%   ,Spread              ,0.07,,,0.07,30.0,101.0,122.0,2.1,CWH_180720_152649_B
CWH,180720,152649,,,180817,C,30.0,24.69,122.0,500,0.250,Sell33%  ,Spread              ,0.01,,,0.07,30.0,101.0,122.0,2.1,CWH_180720_152649_A
BABA,180720,112024,20180815,bmo,190118,C,225.0,187.25,120.0,400,5.400,Un0%     ,Spread              ,0.22,,,0.22,225.0,120.0,120.0,473.7,BABA_180720_112024_B
