Stock,EventD,OptionEX,C/P,Strike,Avg_Price,Volume,OIa,OI_Change,MillionD,Buy_%,Sell_%,ER_Date,ER_A/B,Div_Date,StockV,Rank,MaxD,Huge,OView
AA,180719,180720,P,50.0,6.753,530,2628,-1654,-1.117,99.62,0.38,20181016,amc,,41.56,83.0,1.117,1---2,Down
AA,180719,180720,P,48.0,3.716,560,2523,-1458,-0.542,64.46,9.82,20181016,amc,,41.56,87.0,1.117,1---2,Down
AA,180719,180720,P,47.5,2.781,172,4048,-1369,-0.381,72.09,22.67,20181016,amc,,41.56,87.0,1.117,1---2,Down
AA,180719,180921,P,50.0,7.644,514,208,512,0.391,97.86,1.17,20181016,amc,,41.56,83.0,1.117,1---2,Down
AA,180719,180817,P,50.0,7.735,596,5887,512,0.396,70.81,16.11,20181016,amc,,41.56,83.0,1.117,1---2,Down
AABA,180719,180817,P,100.0,26.729,11696,150582,7996,21.372,84.61,15.39,20180815,amc,,73.36,73.0,21.372,2---2,Down
AAP,180719,180817,C,150.0,3.126,1266,118,1264,0.395,98.89,1.03,20180813,bmo,,143.37,96.0,0.395,1---1,Up
AAPL,180719,180720,C,2.5,189.176,268,1648,-184,-3.481,0.75,99.25,20180731,amc,,191.88,7675.0,9.59,1---2,Down
AAPL,180719,180720,C,5.0,186.769,217,293,-133,-2.484,9.22,90.78,20180731,amc,,191.88,3838.0,9.59,1---2,Down
AAPL,180719,180720,C,190.0,2.055,28356,45993,-8201,-1.685,52.33,38.52,20180731,amc,,191.88,101.0,9.59,1---2,Up
AAPL,180719,180817,C,205.0,0.792,19973,46256,-15320,-1.213,96.17,3.49,20180731,amc,,191.88,94.0,9.59,1---2,Up
AAPL,180719,180720,C,180.0,11.937,2686,16748,-958,-1.144,59.31,28.56,20180731,amc,,191.88,107.0,9.59,1---2,Up
AAPL,180719,200117,C,175.0,32.883,591,15991,-322,-1.059,81.56,15.57,20180731,amc,,191.88,110.0,9.59,1---2,Up
AAPL,180719,180817,C,190.0,6.112,4161,24076,-1173,-0.717,39.05,41.79,20180731,amc,,191.88,101.0,9.59,1---2,Down
AAPL,180719,190118,C,140.0,52.986,112,17008,-103,-0.546,95.54,4.46,20180731,amc,,191.88,137.0,9.59,1---2,Up
AAPL,180719,180720,C,185.0,6.83,2193,87409,-592,-0.404,49.02,37.25,20180731,amc,,191.88,104.0,9.59,1---2,Up
AAPL,180719,180720,C,175.0,16.942,443,9469,-221,-0.374,56.21,35.21,20180731,amc,,191.88,110.0,9.59,1---2,Up
AAPL,180719,190118,C,200.0,8.186,1196,38349,-406,-0.332,40.89,46.57,20180731,amc,,191.88,96.0,9.59,1---2,Down
AAPL,180719,180810,C,185.0,9.33,381,225,322,0.3,73.23,26.77,20180731,amc,,191.88,104.0,9.59,1---2,Up
AAPL,180719,180817,C,185.0,9.53,1220,11951,347,0.331,68.77,30.57,20180731,amc,,191.88,104.0,9.59,1---2,Up
AAPL,180719,180921,C,190.0,7.739,2495,32581,433,0.335,44.21,40.44,20180731,amc,,191.88,101.0,9.59,1---2,Up
AAPL,180719,180921,P,190.0,5.708,1765,15221,667,0.381,33.88,44.59,20180731,amc,,191.88,101.0,9.59,1---2,Up
