Stock,EventD,EventT,OptionEX,C/P,Strike,Size,OPrice,Direction,Condition,Seq,LegSeq,MillionD,StockV,MarketCapB,ER_Date,ER_A/B,Height,MaxMillionD,MaxStrike,MinHeight,MaxHeight,MaxSize,Index,OIa,OIChange
AABA,180718,103037,180817,C,100.0,3000,0.050,Sell37%  ,BuyWrite            ,32334023,32334023,0.02,74.66,60.5,20180815,amc,134.0,7.52,100.0,134.0,134.0,3000,AABA_180718_103037_A,150490,21109.0
AABA,180718,103037,180817,P,100.0,3000,25.050,Buy55%   ,BuyWrite            ,32334023,32334023,7.52,74.66,60.5,20180815,amc,134.0,7.52,100.0,134.0,134.0,3000,AABA_180718_103037_B,150582,21026.0
AABA,180718,114616,180817,P,100.0,2500,25.350,Buy50%   ,BuyWrite            ,59633505,59633505,6.34,74.66,60.5,20180815,amc,134.0,6.34,100.0,134.0,134.0,2500,AABA_180718_114616_A,150582,21026.0
AABA,180718,114616,180817,C,100.0,2500,0.020,Sell71%  ,BuyWrite            ,59633505,59633505,0.01,74.66,60.5,20180815,amc,134.0,6.34,100.0,134.0,134.0,2500,AABA_180718_114616_B,150490,21109.0
AABA,180718,150011,180817,P,100.0,1000,25.330,Buy44%   ,BuyWrite            ,113229110,113229110,2.53,74.66,60.5,20180815,amc,134.0,2.53,100.0,134.0,134.0,1000,AABA_180718_150011_A,150582,21026.0
AABA,180718,150011,180817,C,100.0,1000,0.080,Un0%     ,BuyWrite            ,113229110,113229110,0.01,74.66,60.5,20180815,amc,134.0,2.53,100.0,134.0,134.0,1000,AABA_180718_150011_B,150490,21109.0
AAPL,180718,131422,180921,C,215.0,895,0.480,Buy100%  ,Spread              ,86086769,86086769,0.04,190.4,955.8,20180731,amc,113.0,0.08,215.0,110.0,113.0,895,AAPL_180718_131422_A,6865,-1149.0
AAPL,180718,131422,180921,C,210.0,895,0.860,Sell100% ,Spread              ,86086769,86086769,0.08,190.4,955.8,20180731,amc,110.0,0.08,215.0,110.0,113.0,895,AAPL_180718_131422_B,24476,28.0
AMD,180718,142018,190118,C,12.0,380,5.500,Buy100%  ,BuyWrite            ,363296439,363296382,0.21,16.85,16.3,20180725,amc,71.0,0.21,12.0,71.0,71.0,380,AMD_180718_142018_A,50264,-544.0
ARWR,180718,100806,181221,C,11.0,423,6.860,Sell36%  ,Spread              ,20311511,20311512,0.29,16.67,1.5,20180801,amc,66.0,0.29,20.0,66.0,120.0,423,ARWR_180718_100806_B,601,0.0
ARWR,180718,100806,181221,C,20.0,423,2.860,Sell94%  ,Spread              ,20311512,20311511,0.12,16.67,1.5,20180801,amc,120.0,0.29,20.0,66.0,120.0,423,ARWR_180718_100806_A,2554,2549.0
ARWR,180718,100812,181221,C,20.0,489,2.860,Sell94%  ,Spread              ,20355280,20355279,0.14,16.67,1.5,20180801,amc,120.0,0.3,20.0,72.0,120.0,489,ARWR_180718_100812_A,2554,2549.0
ARWR,180718,100812,181221,C,12.0,489,6.210,Sell56%  ,Spread              ,20355279,20355280,0.30,16.67,1.5,20180801,amc,72.0,0.3,20.0,72.0,120.0,489,ARWR_180718_100812_B,2862,-140.0
AVGO,180718,95437,180921,C,210.0,380,10.890,Buy16%   ,Spread              ,24855508,24855511,0.41,208.78,108.4,20180820,amc,101.0,0.41,240.0,101.0,115.0,380,AVGO_180718_95437_B,3872,325.0
AVGO,180718,95437,180921,C,240.0,380,2.090,Sell9%   ,Spread              ,24855511,24855508,0.08,208.78,108.4,20180820,amc,115.0,0.41,240.0,101.0,115.0,380,AVGO_180718_95437_A,2043,396.0
AVGO,180718,143843,180817,P,260.0,100,51.000,Un0%     ,Spread              ,178969814,178969812,0.51,208.78,108.4,20180820,amc,125.0,0.61,270.0,125.0,129.0,100,AVGO_180718_143843_B,45,-123.0
AVGO,180718,143843,180817,P,270.0,100,61.000,Sell14%  ,Spread              ,178969812,178969814,0.61,208.78,108.4,20180820,amc,129.0,0.61,270.0,125.0,129.0,100,AVGO_180718_143843_A,78,-7.0
BABA,180718,104623,181019,C,220.0,3000,3.400,Sell100% ,BuyWrite            ,63353605,63353605,1.02,190.79,482.7,20180815,bmo,115.0,2.18,220.0,107.0,115.0,3000,BABA_180718_104623_A,8307,-455.0
BABA,180718,104623,181019,C,205.0,3000,7.250,Buy100%  ,BuyWrite            ,63353605,63353605,2.18,190.79,482.7,20180815,bmo,107.0,2.18,220.0,107.0,115.0,3000,BABA_180718_104623_B,3897,3016.0
BABA,180718,121418,181019,C,220.0,834,3.280,Sell40%  ,Spread              ,109647040,109647026,0.27,190.79,482.7,20180815,bmo,115.0,0.44,220.0,102.0,115.0,834,BABA_180718_121418_A,8307,-455.0
BABA,180718,121418,181019,C,195.0,417,10.610,Buy46%   ,Spread              ,109647031,109647040,0.44,190.79,482.7,20180815,bmo,102.0,0.44,220.0,102.0,115.0,834,BABA_180718_121418_B,10910,586.0
BAC,180718,135554,190118,P,22.0,530,0.130,Buy100%  ,Spread              ,158335386,158335386,0.01,30.13,307.0,20181015,bmo,73.0,0.01,30.0,73.0,100.0,530,BAC_180718_135554_B,132407,-662.0
BAC,180718,135554,180720,P,30.0,530,0.140,Buy100%  ,Spread              ,158335386,158335386,0.01,30.13,307.0,20181015,bmo,100.0,0.01,30.0,73.0,100.0,530,BAC_180718_135554_A,125397,27017.0
BAC,180718,135607,180720,P,30.0,858,0.140,Sell100% ,Spread              ,158421376,158421380,0.01,30.13,307.0,20181015,bmo,100.0,0.01,30.0,73.0,100.0,858,BAC_180718_135607_A,125397,27017.0
BAC,180718,135607,180720,P,30.0,431,0.140,Sell100% ,Spread              ,158421380,158421351,0.01,30.13,307.0,20181015,bmo,100.0,0.01,30.0,73.0,100.0,858,BAC_180718_135607_B,125397,27017.0
BAC,180718,135607,190118,P,22.0,858,0.130,Buy100%  ,Spread              ,158421376,158421376,0.01,30.13,307.0,20181015,bmo,73.0,0.01,30.0,73.0,100.0,858,BAC_180718_135607_C,132407,-662.0
BAC,180718,135607,190118,P,22.0,431,0.130,Buy100%  ,Spread              ,158421380,158421380,0.01,30.13,307.0,20181015,bmo,73.0,0.01,30.0,73.0,100.0,858,BAC_180718_135607_D,132407,-662.0
